gene	JK215	JK217	JK218	JK219	JK228	JK229	JK230	JK231
4933432I03Rik	5	13	4	2	9	6	8	1
Irg1	76	22	19	22	2017	3361	1971	102
Cln5	1935	2529	1116	2417	1576	1708	2216	1454
Fbxl3	5053	6013	2704	4235	3465	2727	3987	3729
Mycbp2	4605	4510	2326	3303	3951	5389	5357	3582
Scel	5133	2352	1514	1637	1690	968	2171	2001
Slain1	389	282	117	355	319	328	275	259
4921525B02Rik	0	0	0	0	0	0	0	0
Ednrb	5634	4130	1995	2456	2815	1126	3740	4315
4930432J09Rik	0	3	0	0	0	1	1	0
Pou4f1	19	7	4	16	9	13	9	8
Rnf219	529	402	170	344	374	414	459	273
D130009I18Rik	0	0	0	0	0	0	0	0
Gm17066	968	1313	595	937	899	750	853	765
Rbm26	1602	1661	806	1292	1097	1360	1278	1033
Ndfip2	2049	2427	1087	1819	1657	1546	1881	1581
5430440P10Rik	0	3	1	0	0	0	0	0
4930449E01Rik	0	0	0	0	0	0	0	0
Spry2	1884	1598	818	1550	1559	1274	1511	1247
Trim52	0	0	0	0	0	0	0	0
1700128A07Rik	0	0	0	0	0	1	0	1
Slitrk1	0	0	0	0	0	0	0	0
Mir3964	0	0	0	0	0	0	0	0
Slitrk6	231	213	45	89	110	78	78	50
Slitrk5	2	5	1	0	1	0	1	0
Mir466	0	0	0	0	0	0	0	0
4930524C18Rik	0	0	0	0	0	0	0	0
Mir17	0	0	0	0	0	0	0	0
Mir18	0	0	0	0	0	0	0	0
Mir19a	0	0	0	0	0	0	0	0
Mir20a	0	0	0	0	0	1	0	0
Mir19b-1	0	0	0	0	0	0	0	0
Mir17hg	286	346	207	251	237	211	220	179
Mir92-1	0	0	0	0	0	0	0	0
Gpc5	3	0	0	5	0	0	0	1
4930505G20Rik	0	0	0	0	0	0	0	0
Gpc6	482	502	130	153	199	301	373	379
Dct	4	6	2	4	5	0	1	3
Tgds	492	696	296	531	455	507	561	370
Gpr180	886	1171	423	837	729	508	882	585
Sox21	15	144	13	6	13	19	49	3
Gm9376	0	0	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0	0	0
Abcc4	837	865	314	651	828	867	860	590
Cldn10	1372	2106	508	1488	802	546	1204	1216
Dzip1	969	1249	347	753	561	469	701	650
Dnajc3	10077	9447	4271	9108	8536	7007	10767	8258
Uggt2	421	520	282	330	256	268	331	328
Hs6st3	24	28	11	9	5	24	18	24
1700006F04Rik	0	0	0	0	0	0	1	0
Oxgr1	0	0	0	0	0	0	0	0
Mbnl2	11363	9650	4141	7139	8278	8236	9802	8228
Rap2a	5491	4275	2418	4442	3519	2496	4716	3261
Ipo5	3517	2986	1243	2472	3715	4471	3890	2831
Farp1	4250	4046	1735	3844	3178	2744	3747	3426
Stk24	3130	2276	1155	2166	2642	2960	3673	2378
Slc15a1	137	125	61	120	62	20	82	89
Dock9	13188	11933	6680	8145	8615	5277	10206	13366
Ubac2	1413	1407	561	1114	1291	1391	1716	1145
Gpr18	186	62	36	113	321	498	223	149
Gpr183	275	172	102	201	303	426	297	152
Timm8a2	0	3	4	2	3	3	7	2
A330035P11Rik	47	73	20	47	38	12	49	28
Tm9sf2	9640	8210	3252	7183	8269	5972	8728	7478
Clybl	272	440	146	277	203	210	248	183
1700108J01Rik	0	0	0	0	0	0	0	0
Gm5089	1	10	0	3	0	1	2	0
Zic5	1	1	0	5	0	1	1	0
2610035F20Rik	0	0	0	0	0	0	0	0
Zic2	0	0	0	0	0	0	0	1
Pcca	1426	1561	527	1249	661	500	1083	921
Ggact	579	807	290	683	521	285	585	509
Tmtc4	450	626	192	443	281	284	417	291
AA536875	0	0	0	0	0	0	0	0
Nalcn	33	58	17	69	35	2	34	62
Itgbl1	263	470	105	320	318	95	351	379
Fgf14	1	12	1	3	0	2	1	0
1700024B18Rik	0	0	0	0	0	0	0	1
Sepp1	61120	73998	42026	55469	45657	22065	56023	58818
Ccdc152	3	5	2	0	3	3	0	2
Ghr	6416	5529	2900	3666	4096	2837	4242	3969
Fbxo4	841	1135	433	1028	938	772	904	687
AW549877	3890	4405	2057	3565	2465	2148	2978	2825
A630020A06	5	3	3	0	1	1	2	2
BC037032	42	45	23	44	31	21	29	31
Oxct1	4791	5812	2046	4665	2331	2294	4118	2857
Plcxd3	46	43	31	24	14	19	14	21
C6	2318	2111	968	2986	1457	1209	1986	1113
Mroh2b	0	3	0	0	0	0	1	0
C7	11026	7061	3647	5700	7847	8576	6805	7919
Card6	910	611	362	605	661	612	712	545
Rpl37	6952	12134	5356	7845	6821	5804	7529	6015
Snord72	19	21	15	33	14	13	18	12
Prkaa1	2478	2237	937	1761	2111	2188	2409	1725
Ttc33	874	1047	420	846	670	467	839	689
Ptger4	316	264	144	140	838	1138	744	234
5430437J10Rik	17	24	23	35	91	136	94	24
Dab2	2982	2787	1239	2698	5603	6538	4551	2533
C9	0	0	12	0	2	0	2	0
Fyb	915	449	384	405	2372	4066	2605	890
Rictor	2963	3236	1464	2323	1850	2143	2687	2326
Osmr	3611	3474	1377	2714	5500	5621	5107	3543
Lifr	6797	4643	2614	4459	3730	3353	4634	4387
Egflam	4168	2279	1217	1746	3020	1527	2784	3144
Gdnf	346	351	157	564	456	258	340	232
Wdr70	492	438	214	376	499	441	535	420
Nup155	1191	1044	546	889	989	1182	1129	823
2410089E03Rik	1357	1484	663	932	839	833	1139	925
Nipbl	6197	5278	2964	4231	4133	4381	5590	4840
Slc1a3	1991	1590	761	1936	877	715	1015	881
Ranbp3l	9	2	3	2	3	2	1	3
Nadkd1	1066	1036	507	965	511	474	834	756
Skp2	206	237	85	180	216	346	262	144
Lmbrd2	568	583	309	476	322	445	520	390
Ugt3a1	0	0	0	0	0	0	0	0
Ugt3a2	0	0	1	1	0	0	2	0
Capsl	612	1388	264	548	355	229	860	306
Il7r	1208	838	582	564	1338	2267	942	735
Spef2	352	534	95	237	76	109	287	185
Prlr	57	52	34	47	102	57	38	44
Agxt2	0	0	7	2	0	0	0	0
Dnajc21	1166	1133	533	883	1181	1069	1311	1027
Brix1	1538	1481	698	1241	1793	1610	1515	1159
Rad1	429	436	232	352	359	313	373	349
Ttc23l	0	0	0	2	0	0	2	0
Rai14	6061	5929	2948	6801	5475	4260	6614	5216
Gm10389	0	0	0	0	0	0	0	0
4930556M19Rik	543	593	281	664	269	93	476	346
Gm19276	3	0	1	6	1	2	4	0
C1qtnf3	123	48	11	47	31	14	166	87
Amacr	376	418	198	313	278	193	421	320
Slc45a2	1	1	0	0	1	1	0	1
Rxfp3	0	0	0	1	1	0	4	1
Adamts12	127	128	44	55	100	189	152	139
Tars	2133	1853	744	1509	2443	2688	2466	1774
Npr3	9528	9420	5378	2412	4495	1029	3923	10581
1700047G03Rik	0	0	0	0	0	0	0	0
Sub1	4132	5755	2200	3950	4550	4071	4099	3083
Zfr	5046	4739	2237	3800	3646	3751	4595	3774
Mir1898	18	10	9	17	17	14	13	2
Mtmr12	2909	2529	1052	1701	2150	1719	2538	2493
Golph3	6700	5793	2339	4557	5214	4907	6392	5015
Pdzd2	23986	13734	8285	9746	12352	6497	14601	17815
6030458C11Rik	1232	1192	587	996	1037	1080	1199	982
Drosha	2314	2028	973	1627	1693	1517	2135	1783
Cdh6	63	73	27	16	20	19	33	32
Cdh9	1	3	0	1	0	1	1	1
4921515E04Rik	0	0	0	0	0	0	0	0
Cdh10	5	9	2	7	2	2	9	6
Acot10	0	1	0	1	3	0	0	1
Cdh12	0	0	0	0	0	0	0	0
Gm5803	3	3	1	0	1	1	0	1
Cdh18	1	0	0	0	0	0	1	0
Basp1	434	820	165	457	1947	2495	1465	299
Gm5468	1	1	0	0	1	0	0	0
Myo10	6958	5063	2781	4301	3668	3733	3851	3699
Fam134b	3924	5900	1709	3557	3477	2461	4763	4130
Zfp622	1315	1171	478	977	1258	1024	1504	1059
March11	0	0	0	0	0	0	0	0
Fbxl7	588	371	196	305	296	195	367	436
Ank	884	974	360	680	538	553	865	667
Fam105b	1106	847	378	756	1162	1159	1134	805
Fam105a	1066	1513	725	997	1952	1963	2448	1289
Trio	3046	3147	1405	2267	1804	2354	2768	2120
Dnahc5	2655	5073	701	1232	580	496	2318	1358
Ctnnd2	400	364	125	273	231	164	235	220
4930430F21Rik	0	0	0	0	0	0	0	0
Dap	3785	3661	1400	3042	3067	2757	3513	2544
Ankrd33b	3749	4134	2007	2615	2344	2344	4600	2990
Ropn1l	101	131	31	54	52	51	130	43
March6	5818	4713	2233	3918	3914	3387	5411	4792
Cmbl	515	1341	311	521	288	242	580	351
Cct5	6043	7016	2756	5839	5567	6091	6543	4506
Fam173b	277	435	200	341	227	219	337	164
Tas2r119	0	0	0	0	0	0	0	0
0610007N19Rik	1006	1456	565	978	820	584	821	716
Snord123	14	32	8	4	9	12	8	14
Sema5a	1703	1886	788	1081	2179	2364	2400	2924
Sdc2	4984	3568	1658	2676	2829	1724	2874	3116
Cpq	3039	2945	1054	2604	2427	1853	2927	2197
1700084J12Rik	0	0	0	0	0	0	0	0
4930592A05Rik	0	0	0	0	0	0	0	0
Tspyl5	98	109	36	95	62	42	152	67
Mtdh	4465	4077	1657	3956	3476	3833	4044	3528
Laptm4b	2769	3025	969	2515	1386	1012	2204	1694
Matn2	166	250	83	158	264	411	307	205
9430069I07Rik	1	2	1	3	1	0	6	0
Gm12191	0	0	0	0	0	0	0	0
Rpl30	5	1	0	7	6	6	11	0
BC030476	14	77	8	7	2	0	5	6
Hrsp12	564	752	308	686	222	113	391	315
Pop1	194	200	79	137	207	299	227	198
Nipal2	1533	1859	610	1433	654	467	1008	891
4930413F20Rik	1	4	0	0	1	2	2	2
Kcns2	1	0	0	0	0	3	0	0
Stk3	1749	1399	664	1279	1485	1183	1514	1252
Osr2	9	20	1	2	19	12	34	9
BC048602	0	0	0	0	0	0	0	0
Vps13b	3332	3956	1805	2640	1821	2046	2904	2480
Mir599	0	0	0	0	0	0	0	0
Mir875	0	0	0	0	0	0	0	0
Cox6c	3043	6672	2554	3909	3161	1885	3328	2549
Rgs22	666	1175	287	445	117	127	616	362
Fbxo43	4	17	4	1	6	2	33	6
Polr2k	286	574	232	365	309	183	261	230
Spag1	377	526	175	301	244	220	379	242
Rnf19a	4822	4202	1980	3648	3531	2864	3841	3600
Ankrd46	3952	3992	1664	3212	2538	1765	3037	2988
Snx31	35	17	9	61	12	4	26	58
Pabpc1	14612	11929	5891	10504	15536	17540	18649	13973
Ywhaz	11792	10125	4099	8429	13123	10443	12049	8766
Zfp706	4797	5588	2253	4404	3503	2732	4538	3583
Grhl2	1230	1533	400	1031	594	461	1170	866
Ncald	4435	2903	1679	2813	2531	1905	2538	2205
Gm15941	5	3	4	7	3	1	2	3
4930447A16Rik	0	0	0	0	0	0	0	0
Rrm2b	2035	2272	1160	1834	1145	847	1489	1563
Ubr5	8391	6828	3588	5300	6162	7022	7553	6461
Odf1	0	0	0	0	0	0	0	0
Klf10	2779	3235	1197	1554	2157	2851	3245	2373
Azin1	7684	8759	3196	8055	4798	4716	6159	4273
2310043O21Rik	0	1	0	4	0	0	1	0
Atp6v1c1	2168	2447	962	2251	2378	2238	2505	1696
Baalc	11	12	5	10	4	4	9	11
Fzd6	2113	1977	697	1542	1052	592	1498	1200
Cthrc1	214	409	151	212	45	43	117	74
Slc25a32	644	613	287	535	465	489	514	498
Dcaf13	1076	1152	511	1003	1619	1454	1306	917
Rims2	82	82	25	43	28	43	60	41
Dcstamp	58	40	17	43	7	27	47	24
Dpys	0	1	6	4	1	8	12	4
Gm16291	0	0	0	0	0	0	0	0
Lrp12	460	547	231	529	733	935	959	398
AU022793	30	49	13	53	72	64	100	21
9330182O14Rik	0	0	1	0	1	1	0	1
Gm16294	0	0	0	0	0	0	0	0
Zfpm2	255	237	93	150	171	215	205	217
Oxr1	4567	4947	2291	3937	3395	2561	4860	4130
Abra	191	482	62	68	52	39	83	73
Angpt1	5139	4041	2487	2669	3087	1649	3320	3307
Rspo2	4	9	0	4	18	23	1	4
Eif3e	3987	5367	2308	3745	3915	4035	4655	4083
Gm10373	1	0	2	0	0	1	0	0
Emc2	1757	1928	789	1684	2372	1809	2099	1402
Tmem74	0	3	1	2	2	2	0	1
Trhr	0	0	0	0	0	0	0	0
Nudcd1	771	974	333	751	644	736	812	587
Eny2	1957	2964	995	2318	2028	1384	1903	1709
Pkhd1l1	1178	675	376	1313	915	437	319	424
Ebag9	787	979	437	750	977	601	824	684
Sybu	181	276	72	203	153	55	198	171
2310069G16Rik	0	4	1	0	2	1	0	0
A930017M01Rik	19	28	5	11	11	4	9	4
Kcnv1	0	1	0	0	0	1	2	1
1700022A22Rik	0	0	0	0	0	0	0	0
4930523O13Rik	0	0	0	0	0	0	0	0
4930548G14Rik	0	0	0	0	0	0	0	0
Csmd3	0	0	0	0	0	1	1	0
Trps1	1279	1143	512	821	1084	1331	1472	921
Mir1907	2	1	0	0	1	4	2	0
Gm19303	0	0	0	0	0	0	0	0
Eif3h	5946	8802	3805	6542	5739	5378	6990	5356
Utp23	554	571	212	548	558	594	588	444
Rad21	8263	7434	3597	5920	6204	5919	6793	6013
Aard	310	315	184	364	369	63	424	274
Slc30a8	1	4	1	0	4	3	2	3
Med30	1029	1345	570	933	972	680	859	681
Ext1	2696	2050	952	1824	2341	2758	2629	2027
Samd12	117	150	69	131	34	32	74	53
Tnfrsf11b	170	59	34	108	191	250	150	101
Colec10	10	5	9	3	0	1	2	6
Mal2	15923	21655	7107	20570	13102	4807	15737	14303
Nov	889	1053	286	514	468	612	923	936
Enpp2	3587	1901	963	1796	2296	1309	2911	3081
Taf2	1862	1849	803	1416	1494	1292	1799	1289
Dscc1	15	12	9	26	39	55	35	34
Gm9920	11	13	12	16	25	15	20	7
Deptor	839	745	405	748	247	222	524	466
Col14a1	1972	1746	492	934	1072	757	889	1199
Mrpl13	1206	2004	774	1445	1522	1343	1233	805
Mtbp	451	319	131	304	509	600	345	311
Sntb1	1041	926	428	807	392	258	713	722
Has2	34	62	9	26	105	155	91	13
Has2as	3	7	0	0	2	5	3	0
Slc22a22	23	40	12	29	10	8	12	14
Zhx2	1421	1428	575	1131	865	653	1277	1142
Derl1	3973	3865	1511	3186	3591	3224	4079	2866
Wdr67	342	312	126	323	267	314	496	228
Fam83a	33	54	9	32	18	33	31	25
9130401M01Rik	498	622	238	528	523	517	567	331
Zhx1	4046	4534	2421	3750	2679	2286	3589	3249
Atad2	643	702	318	557	721	1174	993	744
Wdyhv1	798	1282	368	703	516	408	801	448
Fbxo32	884	1048	376	846	516	379	1078	895
Klhl38	137	184	52	138	58	42	129	98
Anxa13	9	22	3	7	4	8	10	6
D15Ertd621e	5207	4733	2072	3621	3355	3334	4512	3811
Tmem65	3415	3368	1491	2671	2295	1843	2830	2479
Trmt12	232	270	108	236	225	173	269	154
Rnf139	2121	2318	873	1877	2558	2610	2616	2055
Tatdn1	269	397	181	260	254	224	251	153
Ndufb9	2249	4505	1817	2693	2350	1965	2594	1796
Mtss1	3922	2833	1477	2896	2001	1658	2109	2070
Zfp572	13	8	0	0	0	0	1	2
Sqle	2269	2697	755	1678	1845	1745	1997	1226
E430025E21Rik	2410	2227	888	1732	2343	2702	2585	2078
Nsmce2	760	1063	356	871	997	852	892	608
Trib1	2323	2137	821	1984	3271	3524	2791	1418
Gm19510	1	2	0	0	13	20	4	2
4933412E24Rik	0	0	0	0	0	3	0	0
Fam84b	6817	7711	2593	6039	3423	2543	5616	4558
9930014A18Rik	760	508	263	556	323	190	404	420
A1bg	0	0	0	0	0	0	0	0
D030024E09Rik	0	0	0	0	0	0	0	0
Myc	669	530	210	413	1957	2756	1224	460
Pvt1	68	106	54	96	123	141	110	83
H2afy3	0	0	0	0	0	0	0	0
Gm20740	0	0	0	0	0	0	0	0
Gsdmc	0	0	0	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0	0	0
Gsdmc2	0	0	0	0	0	0	1	0
Gsdmcl1	0	0	0	0	0	0	0	0
Gsdmc3	0	1	0	0	0	0	4	0
Gsdmc4	2	0	6	3	12	3	7	4
Gsdmcl-ps	0	0	0	0	0	0	0	0
Fam49b	2058	1950	949	1895	5202	6263	4724	1829
Asap1	3064	2314	1230	1617	2317	2408	2988	2352
Adcy8	2091	1158	631	800	1080	470	1092	1288
Efr3a	3744	3288	1506	2389	2935	3355	3984	2852
Oc90	0	0	0	0	0	0	1	0
Hhla1	0	0	0	0	0	0	0	0
Kcnq3	1	5	0	1	0	1	2	1
Lrrc6	319	480	59	233	163	94	400	204
Tmem71	1554	1089	663	822	1410	1165	1454	1236
Phf20l1	5026	5785	2910	4226	3752	3480	4451	3631
Tg	122	78	39	128	57	122	61	66
Sla	1544	1870	871	1047	2874	3797	5444	1763
Wisp1	237	122	62	183	287	386	228	87
Ndrg1	1798	1914	634	1216	2776	2718	2240	1490
St3gal1	6839	5754	2935	5140	7583	8405	8608	5460
1700012I11Rik	2	8	2	0	0	0	2	0
Zfat	260	229	82	209	186	211	294	168
Mir30b	1	1	0	2	0	0	0	0
Mir30d	0	2	0	1	1	0	0	0
Khdrbs3	539	793	240	530	541	559	691	366
Gm19782	0	0	0	0	0	0	0	0
Fam135b	1	0	3	2	0	0	3	3
Col22a1	6	7	2	1	17	14	27	13
Kcnk9	0	0	0	0	0	0	0	0
Trappc9	1506	1081	510	979	1176	914	1516	1199
Peg13	7336	6307	3122	3815	4028	2097	5586	6606
Chrac1	1112	1597	575	1136	919	844	1141	782
Eif2c2	1968	2058	1111	1192	1054	2045	2028	1409
Ptk2	5857	4606	2679	3788	3264	2435	3979	3757
Dennd3	6488	5861	2852	3834	5985	3745	5642	6725
Slc45a4	1922	1252	555	1603	1011	966	1465	1145
Gpr20	6	3	0	2	8	4	5	5
Ptp4a3	4769	4832	1989	3299	3817	2396	4346	3981
Mroh5	6	2	3	0	9	5	3	5
Bai1	11	5	2	5	36	59	33	4
Mroh4	0	0	0	0	0	0	0	0
Arc	94	50	21	60	77	133	95	47
Jrk	171	194	62	137	168	148	280	160
4933427E11Rik	4	3	2	4	8	1	7	2
Psca	0	0	0	1	13	36	905	2
Them6	548	571	231	488	425	364	814	416
Slurp1	181	81	20	168	218	136	91	269
Lypd2	1087	4300	432	348	177	150	1066	384
2300005B03Rik	29	61	15	25	7	9	17	15
Lynx1	1173	1163	462	882	770	631	1149	913
Ly6d	82	27	23	50	97	104	675	58
D730001G18Rik	6	26	3	7	7	1	18	1
Ly6k	15	27	6	1	6	24	71	0
Gml	0	0	0	0	0	0	0	0
Hemt1	0	0	0	0	0	0	0	0
Cyp11b1	0	0	0	0	0	0	0	0
Cyp11b2	0	0	0	0	0	0	0	0
2010109I03Rik	163	374	52	133	109	92	122	170
Ly6e	19211	16729	6253	12195	70782	69267	83837	35040
Ly6i	55	78	31	38	830	657	2572	241
Ly6a	17814	22524	7201	12651	72887	74303	64394	35702
Ly6c1	11442	12533	4723	7607	36517	30032	35420	28815
Ly6c2	1025	839	400	566	5971	8209	6055	2236
Ly6f	0	0	0	0	4	9	0	0
9030619P08Rik	0	2	0	0	3	0	3	0
Ly6h	2	11	0	5	0	2	1	1
Gpihbp1	7555	9572	4951	5306	4547	2070	5339	6064
Zfp41	277	208	120	164	151	210	305	177
Top1mt	209	218	121	166	164	210	217	161
Rhpn1	85	114	33	40	53	34	78	42
Mafa	12	7	4	2	4	18	10	11
Zc3h3	279	293	150	166	221	240	320	275
Gsdmd	1822	2024	962	1607	3916	4022	3503	2224
Naprt1	313	360	143	363	268	174	387	246
Eef1d	3695	4578	1882	3606	3179	2897	3430	2877
Tigd5	215	166	57	120	104	76	129	144
Pycrl	428	535	224	442	345	384	430	271
Tsta3	840	946	381	749	844	881	1039	648
Zfp623	733	657	305	505	408	420	596	455
Zfp707	459	475	199	375	343	261	333	317
Ccdc166	209	198	111	134	154	110	186	160
Mapk15	1122	1968	523	836	562	488	1078	664
Fam83h	777	866	241	677	546	485	735	574
Scrib	2818	3090	1444	2183	1921	1999	2860	2177
Puf60	4651	4638	1860	3826	3696	3441	4334	3344
Nrbp2	7190	9906	3812	8462	4362	2174	5989	6128
Eppk1	316	721	117	356	386	398	522	293
BC024139	15	29	2	17	8	8	6	1
Plec	9405	11574	5227	6825	8277	10917	12343	9033
Mir1942	1	0	0	0	2	0	0	0
Parp10	1129	1318	641	938	4334	5076	3301	2780
Grina	5127	4984	2269	3732	7479	8553	9660	5500
Gm10872	116	44	36	25	84	44	142	67
Spatc1	2	5	2	1	1	1	8	1
Smpd5	140	128	63	149	105	104	134	96
Oplah	1571	1823	606	1599	1033	837	1620	1369
Exosc4	579	632	280	430	589	552	730	470
Gpaa1	1469	1517	564	1092	1196	1142	1490	1009
Cyc1	2526	3772	1358	2411	2109	2447	2686	1690
Sharpin	1549	1624	745	1253	1809	1650	1820	1410
Maf1	3208	3002	1387	2422	1910	1457	2718	2180
Fam203a	306	252	98	228	234	256	234	159
Tssk5	0	1	0	0	0	0	0	0
Mroh1	2174	2566	981	2019	1537	1797	2508	1694
Bop1	1277	1295	521	998	1203	1444	1489	830
Scx	327	351	155	273	177	71	305	287
Hsf1	1797	2031	861	1450	1239	1129	1600	1174
Dgat1	814	1081	408	702	683	542	906	587
Scrt1	2	0	1	3	0	2	1	1
Fbxl6	947	1117	471	942	871	724	1038	831
Slc52a2	503	524	198	393	476	503	564	349
Adck5	422	563	218	418	244	250	368	283
Cpsf1	2779	3013	1321	2183	2052	1995	2472	1917
Slc39a4	1880	2685	469	2588	1820	1074	3858	1648
Vps28	3819	5237	1766	3924	3684	2793	4231	3052
Tonsl	217	277	97	211	176	243	197	135
Cyhr1	3977	4064	1809	3214	2245	1739	3450	2690
Kifc2	769	863	439	668	295	142	394	467
Foxh1	2	0	0	1	7	6	6	0
Ppp1r16a	2304	2633	861	2033	1458	1073	2331	1760
Gpt	1420	2021	622	1550	409	195	721	872
Mfsd3	135	146	59	121	113	93	174	130
Recql4	63	56	31	40	52	150	53	49
Lrrc14	610	497	196	391	431	371	566	432
Lrrc24	49	76	32	45	29	16	27	29
C030006K11Rik	544	466	210	350	329	244	443	385
Arhgap39	813	1203	371	624	511	490	995	511
Zfp251	786	776	366	540	439	378	648	570
Zfp7	873	1107	390	788	466	428	713	483
Commd5	479	714	245	539	464	446	566	385
Rpl8	19876	25690	11170	17706	17233	16456	19149	14459
Zfp647	169	128	49	111	90	43	105	60
1110038F14Rik	1020	1093	480	801	1295	1040	1219	872
Mb	15	681	431	3	23	179	379	28
Apol6	87	290	40	46	2253	3560	1085	528
Rbfox2	4233	3994	1821	3073	2571	2372	3235	2950
Apol7a	16	21	8	27	175	169	185	90
Apol9a	17	14	8	24	1133	1244	921	244
Apol7b	2	3	2	9	3	3	3	5
Apol10a	0	0	0	0	0	0	0	0
Apol11a	0	0	0	0	0	0	8	0
Apol7c	0	0	0	0	12	10	61	5
1700025B11Rik	0	0	0	0	1	1	1	0
Apol10b	64	54	12	66	603	1068	1000	216
Gm8221	1	1	0	1	41	26	12	5
Apol11b	0	0	0	2	17	35	38	10
Apol7e	4	0	7	3	9	19	52	4
Apol9b	38	30	14	36	1127	1043	953	345
Apol8	1	1	0	2	15	5	7	3
Myh9	29685	20863	10676	17522	23566	31785	30189	20418
Txn2	2873	3255	1238	2411	2733	2388	3072	2000
Foxred2	182	220	65	91	175	251	296	200
Eif3d	3393	3091	1186	2627	3608	4165	4078	2698
Cacng2	0	0	0	0	0	0	0	0
Ift27	591	631	240	408	452	412	562	415
Pvalb	32	1	1	0	2	0	0	0
Ncf4	764	541	336	504	2140	3108	2718	662
Csf2rb2	472	518	205	452	2061	3757	2215	341
Csf2rb	1619	1450	674	1383	4174	6748	5763	1131
Tex33	3	0	0	0	2	1	0	0
Tst	2204	3651	878	1758	1003	783	1727	1212
Mpst	1339	1421	510	1064	673	469	1043	862
Kctd17	779	828	289	474	789	750	896	563
Tmprss6	6	14	10	5	5	6	14	4
Il2rb	550	305	254	189	1635	4553	2662	897
C1qtnf6	489	462	185	197	779	830	758	455
Sstr3	8	13	1	5	8	3	2	15
Rac2	2803	1233	838	1240	4806	7403	5187	2417
Cyth4	1472	1307	575	1152	3850	5696	4062	1248
Elfn2	1	0	1	1	4	1	3	1
Mfng	1899	2001	967	1181	1271	943	1495	1421
Card10	2762	2964	1459	1459	1283	936	2198	2015
Cdc42ep1	6221	4174	2129	3018	3311	2693	4357	3713
Lgals2	135	91	74	160	57	21	22	70
Gga1	3728	3953	1567	2871	2687	2668	3787	2659
Sh3bp1	942	999	414	768	1100	1785	1482	741
Pdxp	90	116	43	65	56	60	73	46
Lgals1	3123	5032	1532	3423	8204	14123	6050	2966
Nol12	712	915	364	647	986	1046	838	565
Triobp	2348	2038	911	1515	2958	3073	3158	2353
Gm10865	0	0	0	0	0	0	0	0
H1f0	4141	3588	1686	3786	3284	2763	3532	3525
Gcat	316	371	141	281	148	164	201	205
Galr3	1	1	2	5	3	8	6	4
Ankrd54	1172	1140	442	764	917	763	1225	791
Eif3l	3305	3363	1344	2985	3099	3454	3921	2816
Micall1	3041	3091	1645	2300	2419	2346	3186	2941
1700088E04Rik	778	1295	234	551	494	420	967	547
Polr2f	818	1022	392	758	851	739	1028	656
Sox10	6	26	10	4	6	18	13	14
Gm10863	13	13	6	9	1	12	2	8
Pick1	775	1044	345	723	516	458	802	589
Slc16a8	0	6	0	4	1	0	6	1
Baiap2l2	61	116	33	53	9	1	13	29
Pla2g6	1120	1406	442	842	635	580	961	664
Maff	2196	2489	939	881	2106	1848	1574	1420
Tmem184b	7217	6282	2935	3949	7125	7033	7684	5936
Mir1943	14	20	11	17	6	3	7	7
Csnk1e	3984	3479	1617	2474	2710	2370	3641	2770
Kcnj4	0	1	0	0	0	0	0	0
Kdelr3	387	612	162	340	399	428	479	207
Ddx17	21347	26955	12436	20320	11023	11600	16192	13392
Dmc1	17	31	10	16	10	13	13	14
Fam227a	340	641	189	316	153	92	293	201
Cby1	739	1005	421	666	598	425	880	595
Tomm22	2041	3054	1175	2197	2187	1838	2521	1616
Josd1	1468	1595	617	1050	936	943	1296	934
Gtpbp1	2013	1433	705	1234	1858	2227	2081	1629
Sun2	5046	3694	1909	2933	3384	3493	4592	3411
Gm16576	111	125	69	87	49	55	73	64
Dnalc4	1061	1120	433	772	817	507	1047	792
Npcd	0	0	0	0	0	0	0	0
Nptxr	11	4	4	8	4	8	15	6
Cbx6	4392	3322	1617	2846	2611	1817	3293	3053
D730005E14Rik	3	5	2	8	4	2	1	1
Apobec3	942	980	421	896	1678	1691	1465	838
Cbx7	3002	2568	1354	2012	1233	733	1604	1888
Pdgfb	5788	2800	1629	2355	2917	2562	3829	2514
Rpl3	13249	18406	7795	12689	11195	11282	13341	10361
Snord83b	7	15	4	11	22	14	12	10
Snord43	0	0	0	0	0	0	7	0
Syngr1	333	507	183	357	237	224	326	252
Tab1	723	718	259	576	517	567	719	495
Mgat3	2699	3428	671	1411	782	679	2251	1576
Smcr7l	1164	1149	515	738	1095	1116	1175	850
Atf4	11788	11646	4953	7483	13890	10981	10404	8127
Rps19bp1	449	552	203	409	467	349	429	299
Cacna1i	157	15	32	59	57	40	0	55
Enthd1	0	2	0	1	11	17	1	2
Grap2	400	272	194	195	472	1039	469	219
Fam83f	52	56	13	30	91	204	146	21
A430088P11Rik	32	47	10	9	20	34	44	8
Tnrc6b	4162	3704	1798	2543	2005	2262	2744	2781
Mir5113	0	0	0	0	0	0	0	0
Adsl	1364	1549	595	1173	1222	1344	1383	1007
Sgsm3	1506	2098	766	1077	940	762	1844	1341
Mkl1	1624	1450	699	1185	1522	1677	2134	1327
4930483J18Rik	0	0	0	0	1	3	0	0
Mchr1	41	17	23	14	24	7	19	9
Slc25a17	2856	3640	1259	2276	1640	1464	2666	1932
St13	3350	3629	1621	3237	2260	2470	3381	2162
